year,month,day,hour,bathroom_id,item_type,stock_level
2024,01,01,08,1,heavy_pad,10.0
2024,01,01,08,1,medium_pad,23.0
2024,01,01,08,1,light_pad,15.0
2024,01,01,08,2,heavy_pad,1.0
2024,01,01,08,2,medium_pad,4.0
2024,01,01,08,2,light_pad,13.0
2024,01,01,08,3,heavy_pad,20.0
2024,01,01,08,3,medium_pad,20.0
2024,01,01,08,3,light_pad,20.0
2024,01,01,09,1,heavy_pad,10.0
2024,01,01,09,1,medium_pad,23.0
2024,01,01,09,1,light_pad,15.0
2024,01,01,09,2,heavy_pad,0.0
2024,01,01,09,2,medium_pad,4.0
2024,01,01,09,2,light_pad,13.0
2024,01,01,09,3,heavy_pad,19.0
2024,01,01,09,3,medium_pad,19.0
2024,01,01,09,3,light_pad,16.0
2024,01,01,10,1,heavy_pad,10.0
2024,01,01,10,1,medium_pad,23.0
2024,01,01,10,1,light_pad,11.0
2024,01,01,10,2,heavy_pad,0.0
2024,01,01,10,2,medium_pad,2.0
2024,01,01,10,2,light_pad,13.0
2024,01,01,10,3,heavy_pad,19.0
2024,01,01,10,3,medium_pad,19.0
2024,01,01,10,3,light_pad,12.0
2024,01,01,11,1,heavy_pad,9.0
2024,01,01,11,1,medium_pad,23.0
2024,01,01,11,1,light_pad,11.0
2024,01,01,11,2,heavy_pad,0.0
2024,01,01,11,2,medium_pad,2.0
2024,01,01,11,2,light_pad,13.0
2024,01,01,11,3,heavy_pad,16.0
2024,01,01,11,3,medium_pad,19.0
2024,01,01,11,3,light_pad,12.0
2024,01,01,12,1,heavy_pad,5.0
2024,01,01,12,1,medium_pad,21.0
2024,01,01,12,1,light_pad,11.0
2024,01,01,12,2,heavy_pad,0.0
2024,01,01,12,2,medium_pad,2.0
2024,01,01,12,2,light_pad,13.0
2024,01,01,12,3,heavy_pad,16.0
2024,01,01,12,3,medium_pad,19.0
2024,01,01,12,3,light_pad,12.0
2024,01,01,13,1,heavy_pad,1.0
2024,01,01,13,1,medium_pad,21.0
2024,01,01,13,1,light_pad,11.0
2024,01,01,13,2,heavy_pad,0.0
2024,01,01,13,2,medium_pad,2.0
2024,01,01,13,2,light_pad,12.0
2024,01,01,13,3,heavy_pad,16.0
2024,01,01,13,3,medium_pad,18.0
2024,01,01,13,3,light_pad,12.0
2024,01,01,14,1,heavy_pad,1.0
2024,01,01,14,1,medium_pad,21.0
2024,01,01,14,1,light_pad,11.0
2024,01,01,14,2,heavy_pad,0.0
2024,01,01,14,2,medium_pad,1.0
2024,01,01,14,2,light_pad,11.0
2024,01,01,14,3,heavy_pad,20.0
2024,01,01,14,3,medium_pad,18.0
2024,01,01,14,3,light_pad,12.0
2024,01,01,15,1,heavy_pad,0.0
2024,01,01,15,1,medium_pad,21.0
2024,01,01,15,1,light_pad,11.0
2024,01,01,15,2,heavy_pad,0.0
2024,01,01,15,2,medium_pad,1.0
2024,01,01,15,2,light_pad,10.0
2024,01,01,15,3,heavy_pad,18.0
2024,01,01,15,3,medium_pad,17.0
2024,01,01,15,3,light_pad,8.0
2024,01,01,16,1,heavy_pad,0.0
2024,01,01,16,1,medium_pad,21.0
2024,01,01,16,1,light_pad,11.0
2024,01,01,16,2,heavy_pad,0.0
2024,01,01,16,2,medium_pad,1.0
2024,01,01,16,2,light_pad,9.0
2024,01,01,16,3,heavy_pad,18.0
2024,01,01,16,3,medium_pad,17.0
2024,01,01,16,3,light_pad,8.0
2024,01,01,17,1,heavy_pad,0.0
2024,01,01,17,1,medium_pad,19.0
2024,01,01,17,1,light_pad,11.0
2024,01,01,17,2,heavy_pad,0.0
2024,01,01,17,2,medium_pad,1.0
2024,01,01,17,2,light_pad,7.0
2024,01,01,17,3,heavy_pad,18.0
2024,01,01,17,3,medium_pad,17.0
2024,01,01,17,3,light_pad,7.0
2024,01,01,18,1,heavy_pad,0.0
2024,01,01,18,1,medium_pad,19.0
2024,01,01,18,1,light_pad,9.0
2024,01,01,18,2,heavy_pad,0.0
2024,01,01,18,2,medium_pad,1.0
2024,01,01,18,2,light_pad,6.0
2024,01,01,18,3,heavy_pad,18.0
2024,01,01,18,3,medium_pad,17.0
2024,01,01,18,3,light_pad,7.0
2024,01,01,19,1,heavy_pad,0.0
2024,01,01,19,1,medium_pad,19.0
2024,01,01,19,1,light_pad,9.0
2024,01,01,19,2,heavy_pad,0.0
